station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
AIR;01.10.1902 00:00;225.2;104;
AIR;01.11.1902 00:00;105.3;48;
AIR;01.12.1902 00:00;78.2;68;
AIR;01.01.1903 00:00;75.2;70;
AIR;01.02.1903 00:00;36;44;
AIR;01.03.1903 00:00;134.2;135;
AIR;01.04.1903 00:00;196.6;130;
AIR;01.05.1903 00:00;274.8;149;
AIR;01.06.1903 00:00;175.3;100;
AIR;01.07.1903 00:00;293.9;221;
AIR;01.08.1903 00:00;194.9;111;
AIR;01.09.1903 00:00;112;59;
AIR;01.10.1903 00:00;257.5;119;
AIR;01.11.1903 00:00;106.8;49;
AIR;01.12.1903 00:00;177.9;155;
AIR;01.01.1904 00:00;36.5;34;
AIR;01.02.1904 00:00;241;294;
AIR;01.03.1904 00:00;117.4;118;
AIR;01.04.1904 00:00;128.8;85;
AIR;01.05.1904 00:00;160.9;87;
AIR;01.06.1904 00:00;152.9;87;
AIR;01.07.1904 00:00;74.2;56;
AIR;01.08.1904 00:00;47.3;27;
AIR;01.09.1904 00:00;149.4;79;
AIR;01.10.1904 00:00;35.3;16;
AIR;01.11.1904 00:00;46.7;21;
AIR;01.12.1904 00:00;59.2;52;
AIR;01.01.1905 00:00;32.2;30;
AIR;01.02.1905 00:00;26;32;
AIR;01.03.1905 00:00;69.8;70;
AIR;01.04.1905 00:00;206.9;137;
AIR;01.05.1905 00:00;312.7;170;
AIR;01.06.1905 00:00;88.7;51;
AIR;01.07.1905 00:00;62.1;47;
AIR;01.08.1905 00:00;324;185;
AIR;01.09.1905 00:00;351.3;185;
AIR;01.10.1905 00:00;26.4;12;
AIR;01.11.1905 00:00;271.1;124;
AIR;01.12.1905 00:00;22.6;20;
AIR;01.01.1906 00:00;55.1;51;
AIR;01.02.1906 00:00;68.7;84;
AIR;01.03.1906 00:00;82.9;84;
AIR;01.04.1906 00:00;155.2;103;
AIR;01.05.1906 00:00;64.8;35;
AIR;01.06.1906 00:00;25.3;14;
AIR;01.07.1906 00:00;93.3;70;
AIR;01.08.1906 00:00;68.2;39;
AIR;01.09.1906 00:00;63.7;34;
